Summary,Melange Notes,Time to Complete (Hours),Mentor IDs,Difficulty,Categories,Task Tags,Id,Multple,Additional Notes (to be put in Melange),AllLabels
Write a document showing the difference between SymPy and other mathematical systems: Other,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2771"">http://code.google.com/p/sympy/issues/detail?id=2771</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): If you know of a good computer algebra system for which there is not already a task to compare to SymPy, claim this task.",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Training,"Python,    ",2771,,"If you know of a good computer algebra system for which there is not already a task to compare to SymPy, claim this task.","CodeInCategory-Training, CodeInDifficulty-Hard, CodeInMultiple, Priority-Medium, Type-Defect"
Some UI/GUI for the test runner,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2772"">http://code.google.com/p/sympy/issues/detail?id=2772</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): It would be cool to have some UI/GUI for the test runner that makes it easier to see the failures when they happen. E.g. like http://sourceforge.net/apps/mediawiki/cppunit/nfs/project/c/cp/cppunit/c/c2/Qttestrunner_exa.png  but with more options scpecific for SymPy.",144,"proga_goodok_ru, asmeurer, krastanov, vperic, mrocklin",Hard,User Interface,,2772,,It would be cool to have some UI/GUI for the test runner that makes it easier to see the failures when they happen. E.g. like http://sourceforge.net/apps/mediawiki/cppunit/nfs/project/c/cp/cppunit/c/c2/Qttestrunner_exa.png  but with more options scpecific for SymPy.,"CodeInCategory-UI, CodeInDifficulty-Hard, Priority-Medium, Type-Enhancement"
Implement the trigsimp algorithm by fu et al,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2773"">http://code.google.com/p/sympy/issues/detail?id=2773</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Code,"Python,   Simplify, ",2773,,,"CodeInCategory-Code, CodeInDifficulty-Hard, Priority-Medium, Simplify, Type-Enhancement"
minpoly should work with roots of unity in exponential form,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2789"">http://code.google.com/p/sympy/issues/detail?id=2789</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Code,"Python,  Polynomial,  ",2789,,,"CodeInCategory-Code, CodeInDifficulty-Hard, Polynomial, Priority-Medium, Type-Defect"
Allow to manage slow tests better with our test runner,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2791"">http://code.google.com/p/sympy/issues/detail?id=2791</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): Currently slow tests are simply skipped, but this makes it hard to actually run them. There should be a decorator for this (e.g. @slow) that would all to to run such tests when give an extra option to bin/test or test() (--slow and slow=True, respectively). It should be also possible to specify a timeout for slow tests so that they do not hang test runner. It should be also possible to press Ctrl+C (KeyboardInterrupt) to kill a slow test without killing test runner. There should be statistics added at the end which would tell how many slow tests were run, how many timed out and maybe other. Also, almost all skipped tests (or maybe all) are currently skipped because they are slow, so after this is implemented, they should all be converted.",144,"proga_goodok_ru, asmeurer, krastanov, vperic, mrocklin",Hard,QualityAssurance,"   Testing, ",2791,,"Currently slow tests are simply skipped, but this makes it hard to actually run them. There should be a decorator for this (e.g. @slow) that would all to to run such tests when give an extra option to bin/test or test() (--slow and slow=True, respectively). It should be also possible to specify a timeout for slow tests so that they do not hang test runner. It should be also possible to press Ctrl+C (KeyboardInterrupt) to kill a slow test without killing test runner. There should be statistics added at the end which would tell how many slow tests were run, how many timed out and maybe other. Also, almost all skipped tests (or maybe all) are currently skipped because they are slow, so after this is implemented, they should all be converted.","CodeInCategory-QA, CodeInDifficulty-Hard, Priority-Medium, Testing, Type-Enhancement"
"Investigate how to employ complexity measures in functions like trigsimp(), etc.","Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2792"">http://code.google.com/p/sympy/issues/detail?id=2792</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,Research,"Python,   ",2792,,,"CodeInCategory-Research, CodeInDifficulty-Hard, Priority-Medium, Type-Defect"
coverage testing should be part of the bot test,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2799"">http://code.google.com/p/sympy/issues/detail?id=2799</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"proga_goodok_ru, asmeurer, krastanov, vperic, mrocklin",Hard,QualityAssurance,"   Testing, ",2799,,,"CodeInCategory-QA, CodeInDifficulty-Hard, Priority-Medium, Testing, Type-Enhancement"
Fix failures found by shuffling tests in test file,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2812"">http://code.google.com/p/sympy/issues/detail?id=2812</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",144,"asmeurer, krastanov, vperic, mrocklin",Hard,QualityAssurance,"Python,   ",2812,,,"CodeInCategory-QA, CodeInDifficulty-Hard, Priority-Medium, Type-Defect"
Add a split() method for sympy expressions,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=363"">http://code.google.com/p/sympy/issues/detail?id=363</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,    ",363,,,"CodeInCategory-Code, CodeInDifficulty-Medium, CodeInImportedIntoSpreadsheet, Priority-Medium, Type-Enhancement"
Infinity should not be a subclass of Rational,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=281"">http://code.google.com/p/sympy/issues/detail?id=281</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,     ",281,,,"CodeInCategory-Code, CodeInDifficulty-Medium, CodeInImportedIntoSpreadsheet, Milestone-Release0.7.3, Priority-High, Type-Defect"
Pass coverage_doctest.py,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=294"">http://code.google.com/p/sympy/issues/detail?id=294</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,       ",294,,,"CodeInCategory-Documentation, CodeInDifficulty-Medium, Documentation, GHOP, NeedsReview, Priority-Medium, Type-Enhancement, asmeurer"
move some wikis to github.com/sympy/sympy/wiki,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=707"">http://code.google.com/p/sympy/issues/detail?id=707</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,    ",707,,,"CodeInCategory-Documentation, CodeInDifficulty-Medium, Documentation, Priority-High, Type-Defect"
either tangent_line or is_tangent is wrong,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=716"">http://code.google.com/p/sympy/issues/detail?id=716</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,    ",716,,,"CodeInCategory-Code, CodeInDifficulty-Medium, EasyToFix, Priority-Medium, Type-Defect"
Have re and im call expand(complex=True),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=754"">http://code.google.com/p/sympy/issues/detail?id=754</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,   Integration,  ",754,,,"CodeInCategory-Code, CodeInDifficulty-Medium, EasyToFix, Integration, Priority-High, Type-Defect"
Problem installing in Windows,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1235"">http://code.google.com/p/sympy/issues/detail?id=1235</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Research,"Python,    ",1235,,,"CodeInCategory-Research, CodeInDifficulty-Medium, Milestone-Release0.7.1, Priority-Medium, Type-Defect"
use pyflakes to identify simple bugs in sympy and fix them,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1456"">http://code.google.com/p/sympy/issues/detail?id=1456</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,QualityAssurance,"Python,    ",1456,,"Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.","CodeInCategory-QA, CodeInDifficulty-Medium, EasyToFix, Priority-Medium, Type-Defect"
use pyflakes to identify simple bugs in sympy and fix them,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1456"">http://code.google.com/p/sympy/issues/detail?id=1456</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,QualityAssurance,"Python,    ",1456,,"Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.","CodeInCategory-QA, CodeInDifficulty-Medium, EasyToFix, Priority-Medium, Type-Defect"
use pyflakes to identify simple bugs in sympy and fix them,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1456"">http://code.google.com/p/sympy/issues/detail?id=1456</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,QualityAssurance,"Python,    ",1456,,"Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.","CodeInCategory-QA, CodeInDifficulty-Medium, EasyToFix, Priority-Medium, Type-Defect"
use pyflakes to identify simple bugs in sympy and fix them,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1456"">http://code.google.com/p/sympy/issues/detail?id=1456</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,QualityAssurance,"Python,    ",1456,,"Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.","CodeInCategory-QA, CodeInDifficulty-Medium, EasyToFix, Priority-Medium, Type-Defect"
use pyflakes to identify simple bugs in sympy and fix them,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1456"">http://code.google.com/p/sympy/issues/detail?id=1456</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,QualityAssurance,"Python,    ",1456,,"Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.","CodeInCategory-QA, CodeInDifficulty-Medium, EasyToFix, Priority-Medium, Type-Defect"
use pyflakes to identify simple bugs in sympy and fix them,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1456"">http://code.google.com/p/sympy/issues/detail?id=1456</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,QualityAssurance,"Python,    ",1456,,"Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.","CodeInCategory-QA, CodeInDifficulty-Medium, EasyToFix, Priority-Medium, Type-Defect"
use pyflakes to identify simple bugs in sympy and fix them,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1456"">http://code.google.com/p/sympy/issues/detail?id=1456</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.",96,"asmeurer, krastanov, vperic, mrocklin",Medium,QualityAssurance,"Python,    ",1456,,"Pick a good sized module in SymPy (i.e., one of the subdirectories of the sympy/ directory, but not one of the ones that only has a few files in it).  Note that pyflakes complains about many things that really aren't a big deal, so communicate with the mentors about what should be fixed and what does not matter.","CodeInCategory-QA, CodeInDifficulty-Medium, EasyToFix, Priority-Medium, Type-Defect"
setup.py test should run the doctests even when the regular tests fail,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1752"">http://code.google.com/p/sympy/issues/detail?id=1752</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"proga_goodok_ru, asmeurer, krastanov, vperic, mrocklin",Medium,QualityAssurance,"    Testing, ",1752,,,"CodeInCategory-QA, CodeInDifficulty-Medium, EasyToFix, Priority-High, Testing, Type-Defect"
Fix all sphinx errors and warnings,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2470"">http://code.google.com/p/sympy/issues/detail?id=2470</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,    ",2470,,,"CodeInCategory-Documentation, CodeInDifficulty-Medium, Documentation, Priority-Medium, Type-Defect"
Create a SymPyDeprecationWarning for deprecated SymPy behavior,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2513"">http://code.google.com/p/sympy/issues/detail?id=2513</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,   ",2513,,,"CodeInCategory-Code, CodeInDifficulty-Medium, Priority-Medium, Type-Enhancement"
Update SymPy's Wikipedia article,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2528"">http://code.google.com/p/sympy/issues/detail?id=2528</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Outreach,"Python,    ",2528,,,"CodeInCategory-Outreach, CodeInDifficulty-Medium, Documentation, Priority-Medium, Type-Defect"
"(1/(x*y)).subs(x*y, whatever) doesn't work","Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2552"">http://code.google.com/p/sympy/issues/detail?id=2552</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): This is doesn't work >>> (1/(x*y)).subs(x*y, 2);
1/(x*y). Because >>> (1/(x*y)).args; (1/x, 1/y) automatically changed in Mul class ",96,"proga_goodok_ru, asmeurer, krastanov, vperic, mrocklin",Medium,Code,,2552,,"This is doesn't work >>> (1/(x*y)).subs(x*y, 2);
1/(x*y). Because >>> (1/(x*y)).args; (1/x, 1/y) automatically changed in Mul class ","CodeInCategory-Code, CodeInDifficulty-Medium, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: assumptions,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: combinatorics,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: concrete,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: core,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: functions,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: galgebra,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: geometry,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: integrals,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: logic,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: matrices,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: ntheory,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: parsing,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: physics,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Import all public functions and classes into Sphinx: plotting,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Documentation,"Python,      ",2597,,,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
